model_family,model_version,date,mode,top_k,long_symbols,long_realized_return,short_symbols,short_realized_return,gross_period_return,turnover,transaction_cost,period_return_after_cost,benchmark_equal_weight_return,equity,benchmark_equity,drawdown
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-09-18,long-only,5,"GOOGL,INTC,PAN,BMP,KSB",0.016255106223071736,,,0.016255106223071736,1.2,0.0018,0.014455106223071737,0.005589398672487638,17215729.723261435,12791824.72026584,-0.05115118628737192
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-09-25,long-only,5,"NKG,GOOGL,CII,GMD,CTD",-0.04501287151950482,,,-0.04501287151950482,1.5999999999999999,0.0024,-0.047412871519504816,-0.0233163266206678,16399482.54177792,12493566.357013788,-0.09613883318336336
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-10-02,long-only,5,"005930.KS,VIC,CII,LPB,CTD",0.047865288041300594,,,0.047865288041300594,1.2,0.0018,0.04606528804130059,0.02574368776462375,17154929.4287932,12815196.82837536,-0.05450220818460905
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-10-09,long-only,5,"AMD,LPB,VRE,TSM,VHM",0.04239305536883087,,,0.04239305536883087,1.5999999999999999,0.0024,0.03999305536883087,0.010296482517143029,17841007.47128731,12947148.278472474,-0.016688862645428792
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-10-16,long-only,5,"VHM,CTG,VRE,VPI,LPB",-0.06337287020500612,,,-0.06337287020500612,0.8,0.0012000000000000001,-0.06457287020500613,-0.04159281695116658,16688962.41151733,12408639.910086356,-0.08018408508896258
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-10-23,long-only,5,"BMP,005930.KS,TSM,2317.TW,AGG",0.04716040347703987,,,0.04716040347703987,1.9999999999999998,0.0029999999999999996,0.04416040347703987,0.020495824987394922,17425953.72522309,12662965.22201509,-0.039564643161888347
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-10-30,long-only,5,"VIC,BMP,NT2,QCOM,PNJ",-0.01034107331938341,,,-0.010341073319383411,1.5999999999999999,0.0024,-0.01274107331938341,-0.02399488403356992,17203928.37114984,12359118.83999171,-0.05180162046189085
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-11-06,long-only,5,"005930.KS,VSC,CTD,VGI,GOOGL",0.01070160712511401,,,0.010701607125114008,1.9999999999999998,0.0029999999999999996,0.007701607125114009,-0.004393717049107266,17336426.26847304,12304816.368832495,-0.04449896906601858
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-11-13,long-only,5,"VHM,VSC,GOOGL,NVL,GEX",0.05037187666793406,,,0.050371876667934065,1.2,0.0018,0.04857187666793406,0.0013658393761802527,18178489.027048048,12321622.771545714,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-11-20,long-only,5,"005930.KS,AMD,NVL,INTC,CII",0.056854524685513885,,,0.05685452468551389,1.5999999999999999,0.0024,0.05445452468551389,0.0021239660129363644,19168390.00651678,12347793.479536701,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-11-27,long-only,5,"005930.KS,NVL,VRE,2317.TW,VHM",0.012673428455880976,,,0.012673428455880974,1.2,0.0018,0.010873428455880975,0.01480352200641006,19376816.123867065,12530584.31204163,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-12-04,long-only,5,"INTC,VIC,MSB,GEX,2317.TW",-0.009281810156074922,,,-0.009281810156074924,1.5999999999999999,0.0024,-0.011681810156074923,-0.028286234166283276,19150459.836478878,12176141.269950863,-0.011681810156074945
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-12-11,long-only,5,"005930.KS,2317.TW,VHM,MSB,FRT",-0.034176298497691306,,,-0.034176298497691306,1.2,0.0018,-0.03597629849769131,-0.020145427817747714,18461497.177033663,11930847.694898369,-0.047237840364597994
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-12-18,long-only,5,"QCOM,BMP,TSM,VPI,AMD",0.02905745355123488,,,0.02905745355123488,1.9999999999999998,0.0029999999999999996,0.026057453551234882,0.0146999939766546,18942556.78221047,12106231.084149757,-0.022411284644524465
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-12-25,long-only,5,"VRE,VHM,VIC,DGC,BMP",0.07412506436196042,,,0.07412506436196042,1.5999999999999999,0.0024,0.07172506436196043,-0.001938039437274657,20301212.886594605,12082768.730871914,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-01-02,long-only,5,"TSM,INTC,QCOM,MSFT,005930.KS",0.0584245803529214,,,0.058424580352921404,1.9999999999999998,0.0029999999999999996,0.0554245803529214,0.017332194291097093,21426399.09148943,12292189.62608978,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-01-09,long-only,5,"STB,VCB,VRE,BID,VGI",0.11629785273472681,,,0.11629785273472681,1.9999999999999998,0.0029999999999999996,0.11329785273472681,0.042865822463095594,23853964.100392483,12819104.444284448,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-01-16,long-only,5,"BID,GAS,VCB,VHM,POW",-0.018715801176570745,,,-0.01871580117657075,1.2,0.0018,-0.020515801176570748,-0.011871834132876085,23364580.915635776,12666918.162589889,-0.020515801176570703
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-01-23,long-only,5,"VGI,GVR,BCM,BID,GAS",0.06945847388361574,,,0.06945847388361576,1.2,0.0018,0.06765847388361576,-0.0008831877155046782,24945392.803317945,12655730.896075387,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-01-30,long-only,5,"INTC,VHM,STB,GVR,005930.KS",-0.00970137438678742,,,-0.00970137438678742,1.5999999999999999,0.0024,-0.01210137438678742,-0.0267362952924367,24643519.265779525,12317363.5376963,-0.012101374386787267
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-02-06,long-only,5,"VHM,VIC,FRT,GVR,005930.KS",0.09500066371265925,,,0.09500066371265925,0.8,0.0012000000000000001,0.09380066371265924,0.023815541288793825,26955097.729125347,12610708.217597391,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-02-13,long-only,5,"VHM,AAPL,GEX,VPI,VIC",0.026669461734102496,,,0.0266694617341025,1.2,0.0018,0.0248694617341025,0.02472849417117938,27625456.500638824,12922552.042250693,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-02-23,long-only,5,"VHM,VIC,VGI,GEX,VPI",-0.06194180011976347,,,-0.061941800119763475,0.4,0.0006000000000000001,-0.06254180011976347,-0.00015120649557224663,25897710.72195865,12920598.068442535,-0.06254180011976351
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-03-02,long-only,5,"VIC,VHM,GMD,VPI,GEX",-0.10084476828816169,,,-0.1008447682881617,0.4,0.0006000000000000001,-0.10144476828816171,-0.09364168222983721,23270523.45857571,11710691.529897992,-0.15764202998645138
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-03-09,long-only,5,"PLX,GAS,005930.KS,VGI,CSV",-0.04348636096669023,,,-0.04348636096669023,1.9999999999999998,0.0029999999999999996,-0.04648636096669023,0.034103672286567036,22188761.505196527,12110069.11608271,-0.1968001866436696
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-03-16,long-only,5,"VHM,005930.KS,DCM,DPM,INTC",-0.02955413852624449,,,-0.02955413852624449,1.5999999999999999,0.0024,-0.03195413852624449,-0.059206544023999316,21479738.746333674,11393073.775827684,-0.22246574474391156
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-03-23,long-only,5,"VIC,PLX,GAS,DGC,NVL",0.019565856604704425,,,0.019565856604704425,1.9999999999999998,0.0029999999999999996,0.016565856604704426,0.05248164404343254,21835569.01831195,11991001.018291239,-0.20958522376609356
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-03-30,long-only,5,"PLX,VIC,REE,GVR,INTC",0.03754719957219972,,,0.03754719957219972,1.2,0.0018,0.03574719957219972,-0.005309268260592972,22616129.461782087,11927337.577172088,-0.1813301090152447
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2026-04-06,long-only,5,"005930.KS,DGC,PET,VIC,VRE",0.053057232436047964,,,0.05305723243604796,1.5999999999999999,0.0024,0.05065723243604796,0.05244433525626187,23761799.988731332,12552858.86778391,-0.13985855805923597
